




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (1328)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (expected)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (over/under)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (fold Enrichment)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (raw P-value)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (FDR)
cellular metabolic process (GO:0044237)	7542	766	486.32	+	1.58	3.32E-51	5.25E-47
cellular nitrogen compound metabolic process (GO:0034641)	3395	441	218.92	+	2.01	1.41E-46	1.12E-42
primary metabolic process (GO:0044238)	7352	734	474.07	+	1.55	8.93E-45	4.71E-41
nitrogen compound metabolic process (GO:0006807)	6886	698	444.02	+	1.57	1.85E-43	7.33E-40
metabolic process (GO:0008152)	8313	794	536.04	+	1.48	2.82E-43	8.92E-40
nucleobase-containing compound metabolic process (GO:0006139)	2705	365	174.42	+	2.09	2.68E-40	7.07E-37
organic substance metabolic process (GO:0071704)	7840	752	505.54	+	1.49	7.37E-40	1.66E-36
heterocycle metabolic process (GO:0046483)	2891	377	186.42	+	2.02	6.94E-39	1.37E-35
cellular aromatic compound metabolic process (GO:0006725)	2937	377	189.38	+	1.99	1.75E-37	3.07E-34
nucleic acid metabolic process (GO:0090304)	2217	313	142.96	+	2.19	3.59E-37	5.68E-34
macromolecule metabolic process (GO:0043170)	6151	622	396.63	+	1.57	4.74E-36	6.81E-33
organic cyclic compound metabolic process (GO:1901360)	3182	393	205.18	+	1.92	7.48E-36	9.86E-33
gene expression (GO:0010467)	2117	300	136.51	+	2.20	8.74E-36	1.06E-32
cellular macromolecule metabolic process (GO:0044260)	4909	519	316.54	+	1.64	1.21E-32	1.37E-29
RNA metabolic process (GO:0016070)	1582	240	102.01	+	2.35	4.05E-32	4.27E-29
mRNA metabolic process (GO:0016071)	697	140	44.94	+	3.12	1.01E-28	9.94E-26
RNA processing (GO:0006396)	930	159	59.97	+	2.65	1.08E-25	1.01E-22
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	216	100.14	+	2.16	2.67E-24	2.35E-21
macromolecule biosynthetic process (GO:0009059)	1680	225	108.33	+	2.08	2.12E-23	1.77E-20
cellular macromolecule biosynthetic process (GO:0034645)	1639	220	105.69	+	2.08	5.62E-23	4.44E-20
translation (GO:0006412)	387	90	24.95	+	3.61	2.35E-22	1.77E-19
cellular protein metabolic process (GO:0044267)	3590	377	231.49	+	1.63	2.26E-21	1.62E-18
peptide biosynthetic process (GO:0043043)	414	91	26.70	+	3.41	3.66E-21	2.52E-18
biosynthetic process (GO:0009058)	2865	317	184.74	+	1.72	1.03E-20	6.80E-18
organic substance biosynthetic process (GO:1901576)	2803	311	180.74	+	1.72	2.17E-20	1.37E-17
ribonucleoprotein complex biogenesis (GO:0022613)	462	95	29.79	+	3.19	2.58E-20	1.57E-17
cellular component biogenesis (GO:0044085)	2754	303	177.58	+	1.71	2.43E-19	1.42E-16
peptide metabolic process (GO:0006518)	544	102	35.08	+	2.91	3.14E-19	1.77E-16
cellular biosynthetic process (GO:0044249)	2715	298	175.07	+	1.70	6.78E-19	3.69E-16
cellular component organization or biogenesis (GO:0071840)	6006	543	387.28	+	1.40	1.40E-18	7.40E-16
organonitrogen compound metabolic process (GO:1901564)	5246	488	338.27	+	1.44	2.24E-18	1.14E-15
cellular amide metabolic process (GO:0043603)	820	129	52.87	+	2.44	2.73E-18	1.35E-15
amide biosynthetic process (GO:0043604)	537	99	34.63	+	2.86	2.96E-18	1.42E-15
G protein-coupled receptor signaling pathway (GO:0007186)	1305	18	84.15	-	.21	4.77E-18	2.22E-15
cellular macromolecule catabolic process (GO:0044265)	925	136	59.65	+	2.28	6.00E-17	2.71E-14
mRNA processing (GO:0006397)	486	90	31.34	+	2.87	8.52E-17	3.74E-14
macromolecule catabolic process (GO:0009057)	1058	148	68.22	+	2.17	1.13E-16	4.83E-14
cellular catabolic process (GO:0044248)	1812	214	116.84	+	1.83	2.30E-16	9.56E-14
regulation of nitrogen compound metabolic process (GO:0051171)	5740	513	370.12	+	1.39	2.69E-16	1.09E-13
regulation of primary metabolic process (GO:0080090)	5925	526	382.05	+	1.38	2.98E-16	1.15E-13
regulation of macromolecule metabolic process (GO:0060255)	6340	555	408.81	+	1.36	2.97E-16	1.17E-13
organelle organization (GO:0006996)	3567	353	230.01	+	1.53	4.10E-16	1.54E-13
regulation of metabolic process (GO:0019222)	6874	591	443.25	+	1.33	4.37E-16	1.61E-13
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	389	261.09	+	1.49	5.05E-16	1.78E-13
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	53	12.57	+	4.22	5.05E-16	1.81E-13
RNA splicing (GO:0008380)	409	79	26.37	+	3.00	9.32E-16	3.14E-13
protein-containing complex subunit organization (GO:0043933)	1605	194	103.49	+	1.87	9.13E-16	3.14E-13
regulation of cellular metabolic process (GO:0031323)	6138	538	395.79	+	1.36	9.91E-16	3.26E-13
protein metabolic process (GO:0019538)	4203	396	271.02	+	1.46	4.98E-15	1.61E-12
regulation of gene expression (GO:0010468)	4922	448	317.38	+	1.41	6.04E-15	1.91E-12
catabolic process (GO:0009056)	2096	232	135.15	+	1.72	6.93E-15	2.15E-12
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	64	19.54	+	3.28	1.54E-14	4.52E-12
